code: 22575 time: 2730-2740 location:[[22.531982, 113.996681], [22.531799, 113.996101]]
code: 22575 time: 2740-2750 location:[[22.531799, 113.996101], [22.531483, 113.995171]]
code: 22575 time: 2750-2760 location:[[22.531483, 113.995171], [22.531233, 113.994186]]
code: 22575 time: 2760-2770 location:[[22.531233, 113.994186], [22.531099, 113.993614]]
code: 22575 time: 2770-2780 location:[[22.531099, 113.993614], [22.531099, 113.993614]]
code: 22575 time: 2780-2790 location:[[22.531099, 113.993614], [22.53105, 113.993515]]
code: 22575 time: 2790-2800 location:[[22.53105, 113.993515], [22.534586, 114.000244]]
code: 22575 time: 2800-2810 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2810-2820 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2820-2830 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2830-2840 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2840-2850 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2850-2860 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2860-2870 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2870-2880 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2880-2890 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2890-2900 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2900-2910 location:[[22.534586, 114.000244], [22.534586, 114.000244]]
code: 22575 time: 2910-8410 location:[[22.534586, 114.000244], [22.551149, 113.896866]]
code: 22575 time: 8410-8420 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 8420-8430 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 8430-8440 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 8440-8450 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 8450-8460 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 8460-8470 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 8470-8480 location:[[22.551149, 113.896866], [22.553978, 113.902428]]
code: 22575 time: 8480-8490 location:[[22.553978, 113.902428], [22.551504, 113.898346]]
code: 22575 time: 8490-8500 location:[[22.551504, 113.898346], [22.551048, 113.897591]]
code: 22575 time: 8500-8510 location:[[22.551048, 113.897591], [22.550983, 113.897484]]
code: 22575 time: 8510-8520 location:[[22.550983, 113.897484], [22.550974, 113.897469]]
code: 22575 time: 8520-8530 location:[[22.550974, 113.897469], [22.550974, 113.897469]]
code: 22575 time: 8530-8540 location:[[22.550974, 113.897469], [22.550974, 113.897469]]
code: 22575 time: 8540-8550 location:[[22.550974, 113.897469], [22.550974, 113.897469]]
code: 22575 time: 8550-8560 location:[[22.550974, 113.897469], [22.550974, 113.897469]]
code: 22575 time: 8560-8570 location:[[22.550974, 113.897469], [22.550974, 113.897469]]
code: 22575 time: 8570-8580 location:[[22.550974, 113.897469], [22.550974, 113.897469]]
code: 22575 time: 8580-8590 location:[[22.550974, 113.897469], [22.550974, 113.897469]]
code: 22575 time: 8590-9300 location:[[22.550974, 113.897469], [22.551149, 113.896866]]
code: 22575 time: 9300-9310 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 9310-9320 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 9320-9330 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 9330-9340 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 9340-9350 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 9350-9360 location:[[22.551149, 113.896866], [22.551149, 113.896866]]
code: 22575 time: 9360-9370 location:[[22.551149, 113.896866], [22.553978, 113.902428]]
code: 22575 time: 9370-9380 location:[[22.553978, 113.902428], [22.551504, 113.898346]]
code: 22575 time: 9380-9390 location:[[22.551504, 113.898346], [22.551048, 113.897591]]
