{'area_index': '31-3', 'min_lat': 22.53505045852358, 'min_lng': 114.08388778919138, 'max_lat': 22.54403361136477, 'max_lng': 114.09361355003608, 'carNum': 188}
{'area_index': '35-4', 'min_lat': 22.54403361136477, 'min_lng': 114.12278324586124, 'max_lat': 22.55301676420597, 'max_lng': 114.13250963954899, 'carNum': 166}
{'area_index': '11-4', 'min_lat': 22.54403361136477, 'min_lng': 113.88941050584208, 'max_lat': 22.55301676420597, 'max_lng': 113.89913689952984, 'carNum': 157}
{'area_index': '34-4', 'min_lat': 22.54403361136477, 'min_lng': 114.11305938169377, 'max_lat': 22.55301676420597, 'max_lng': 114.12278577538153, 'carNum': 132}
{'area_index': '35-5', 'min_lat': 22.55301676420597, 'min_lng': 114.12278324586124, 'max_lat': 22.561999917047167, 'max_lng': 114.13251027276301, 'carNum': 125}
{'area_index': '33-7', 'min_lat': 22.570983069888364, 'min_lng': 114.1033355175263, 'max_lat': 22.579966222729563, 'max_lng': 114.11306381178147, 'carNum': 108}
{'area_index': '30-3', 'min_lat': 22.53505045852358, 'min_lng': 114.07416392502391, 'max_lat': 22.54403361136477, 'max_lng': 114.08388968586863, 'carNum': 98}
{'area_index': '32-3', 'min_lat': 22.53505045852358, 'min_lng': 114.09361165335883, 'max_lat': 22.54403361136477, 'max_lng': 114.10333741420355, 'carNum': 85}
{'area_index': '37-11', 'min_lat': 22.606915681253152, 'min_lng': 114.14223097419617, 'max_lat': 22.615898834094352, 'max_lng': 114.15196180700768, 'carNum': 85}
{'area_index': '27-3', 'min_lat': 22.53505045852358, 'min_lng': 114.04499233252153, 'max_lat': 22.54403361136477, 'max_lng': 114.05471809336623, 'carNum': 81}
{'area_index': '28-3', 'min_lat': 22.53505045852358, 'min_lng': 114.05471619668899, 'max_lat': 22.54403361136477, 'max_lng': 114.0644419575337, 'carNum': 80}
{'area_index': '28-2', 'min_lat': 22.526067305682385, 'min_lng': 114.05471619668899, 'max_lat': 22.53505045852358, 'max_lng': 114.06444132498679, 'carNum': 77}
{'area_index': '33-3', 'min_lat': 22.53505045852358, 'min_lng': 114.1033355175263, 'max_lat': 22.54403361136477, 'max_lng': 114.11306127837102, 'carNum': 75}
{'area_index': '34-10', 'min_lat': 22.597932528411956, 'min_lng': 114.11305938169377, 'max_lat': 22.606915681253152, 'max_lng': 114.12278957936643, 'carNum': 70}
{'area_index': '27-4', 'min_lat': 22.54403361136477, 'min_lng': 114.04499233252153, 'max_lat': 22.55301676420597, 'max_lng': 114.05471872620927, 'carNum': 69}
{'area_index': '24-3', 'min_lat': 22.53505045852358, 'min_lng': 114.01582074001912, 'max_lat': 22.54403361136477, 'max_lng': 114.02554650086383, 'carNum': 64}
{'area_index': '29-3', 'min_lat': 22.53505045852358, 'min_lng': 114.06444006085646, 'max_lat': 22.54403361136477, 'max_lng': 114.07416582170116, 'carNum': 62}
{'area_index': '20-3', 'min_lat': 22.53505045852358, 'min_lng': 113.97692528334927, 'max_lat': 22.54403361136477, 'max_lng': 113.98665104419398, 'carNum': 61}
{'area_index': '28-1', 'min_lat': 22.517084152841193, 'min_lng': 114.05471619668899, 'max_lat': 22.526067305682385, 'max_lng': 114.06444069273604, 'carNum': 61}
{'area_index': '36-5', 'min_lat': 22.55301676420597, 'min_lng': 114.1325071100287, 'max_lat': 22.561999917047167, 'max_lng': 114.14223413693045, 'carNum': 59}
{'area_index': '29-2', 'min_lat': 22.526067305682385, 'min_lng': 114.06444006085646, 'max_lat': 22.53505045852358, 'max_lng': 114.07416518915424, 'carNum': 58}
{'area_index': '36-4', 'min_lat': 22.54403361136477, 'min_lng': 114.1325071100287, 'max_lat': 22.55301676420597, 'max_lng': 114.14223350371645, 'carNum': 58}
{'area_index': '19-5', 'min_lat': 22.55301676420597, 'min_lng': 113.96720141918179, 'max_lat': 22.561999917047167, 'max_lng': 113.97692844608356, 'carNum': 56}
{'area_index': '34-5', 'min_lat': 22.55301676420597, 'min_lng': 114.11305938169377, 'max_lat': 22.561999917047167, 'max_lng': 114.12278640859553, 'carNum': 55}
{'area_index': '36-7', 'min_lat': 22.570983069888364, 'min_lng': 114.1325071100287, 'max_lat': 22.579966222729563, 'max_lng': 114.14223540428387, 'carNum': 49}
{'area_index': '24-2', 'min_lat': 22.526067305682385, 'min_lng': 114.01582074001912, 'max_lat': 22.53505045852358, 'max_lng': 114.02554586831691, 'carNum': 44}
{'area_index': '8-7', 'min_lat': 22.570983069888364, 'min_lng': 113.8602389133397, 'max_lat': 22.579966222729563, 'max_lng': 113.86996720759485, 'carNum': 43}
{'area_index': '26-1', 'min_lat': 22.517084152841193, 'min_lng': 114.03526846835405, 'max_lat': 22.526067305682385, 'max_lng': 114.04499296440109, 'carNum': 43}
{'area_index': '35-3', 'min_lat': 22.53505045852358, 'min_lng': 114.12278324586124, 'max_lat': 22.54403361136477, 'max_lng': 114.13250900670596, 'carNum': 41}
{'area_index': '25-2', 'min_lat': 22.526067305682385, 'min_lng': 114.02554460418658, 'max_lat': 22.53505045852358, 'max_lng': 114.03526973248438, 'carNum': 40}
{'area_index': '21-3', 'min_lat': 22.53505045852358, 'min_lng': 113.98664914751674, 'max_lat': 22.54403361136477, 'max_lng': 113.99637490836146, 'carNum': 39}
{'area_index': '23-2', 'min_lat': 22.526067305682385, 'min_lng': 114.00609687585165, 'max_lat': 22.53505045852358, 'max_lng': 114.01582200414946, 'carNum': 39}
{'area_index': '7-7', 'min_lat': 22.570983069888364, 'min_lng': 113.85051504917223, 'max_lat': 22.579966222729563, 'max_lng': 113.8602433434274, 'carNum': 38}
{'area_index': '23-17', 'min_lat': 22.660814598300338, 'min_lng': 114.00609687585165, 'max_lat': 22.669797751141534, 'max_lng': 114.01583152618892, 'carNum': 38}
{'area_index': '12-5', 'min_lat': 22.55301676420597, 'min_lng': 113.89913437000955, 'max_lat': 22.561999917047167, 'max_lng': 113.90886139691132, 'carNum': 37}
{'area_index': '30-4', 'min_lat': 22.54403361136477, 'min_lng': 114.07416392502391, 'max_lat': 22.55301676420597, 'max_lng': 114.08389031871167, 'carNum': 37}
{'area_index': '34-7', 'min_lat': 22.570983069888364, 'min_lng': 114.11305938169377, 'max_lat': 22.579966222729563, 'max_lng': 114.12278767594894, 'carNum': 37}
{'area_index': '23-4', 'min_lat': 22.54403361136477, 'min_lng': 114.00609687585165, 'max_lat': 22.55301676420597, 'max_lng': 114.01582326953941, 'carNum': 35}
{'area_index': '2-13', 'min_lat': 22.62488198693555, 'min_lng': 113.80189572833493, 'max_lat': 22.633865139776745, 'max_lng': 113.81162783234838, 'carNum': 34}
{'area_index': '33-4', 'min_lat': 22.54403361136477, 'min_lng': 114.1033355175263, 'max_lat': 22.55301676420597, 'max_lng': 114.11306191121405, 'carNum': 34}
{'area_index': '20-5', 'min_lat': 22.55301676420597, 'min_lng': 113.97692528334927, 'max_lat': 22.561999917047167, 'max_lng': 113.98665231025103, 'carNum': 33}
{'area_index': '21-2', 'min_lat': 22.526067305682385, 'min_lng': 113.98664914751674, 'max_lat': 22.53505045852358, 'max_lng': 113.99637427581453, 'carNum': 33}
{'area_index': '34-3', 'min_lat': 22.53505045852358, 'min_lng': 114.11305938169377, 'max_lat': 22.54403361136477, 'max_lng': 114.12278514253848, 'carNum': 33}
{'area_index': '14-6', 'min_lat': 22.561999917047167, 'min_lng': 113.91858209834449, 'max_lat': 22.570983069888364, 'max_lng': 113.92830975875626, 'carNum': 32}
{'area_index': '33-10', 'min_lat': 22.597932528411956, 'min_lng': 114.1033355175263, 'max_lat': 22.606915681253152, 'max_lng': 114.11306571519896, 'carNum': 32}
{'area_index': '33-5', 'min_lat': 22.55301676420597, 'min_lng': 114.1033355175263, 'max_lat': 22.561999917047167, 'max_lng': 114.11306254442808, 'carNum': 31}
{'area_index': '29-1', 'min_lat': 22.517084152841193, 'min_lng': 114.06444006085646, 'max_lat': 22.526067305682385, 'max_lng': 114.07416455690348, 'carNum': 30}
{'area_index': '29-4', 'min_lat': 22.54403361136477, 'min_lng': 114.06444006085646, 'max_lat': 22.55301676420597, 'max_lng': 114.0741664545442, 'carNum': 30}
{'area_index': '27-2', 'min_lat': 22.526067305682385, 'min_lng': 114.04499233252153, 'max_lat': 22.53505045852358, 'max_lng': 114.05471746081932, 'carNum': 29}
{'area_index': '30-2', 'min_lat': 22.526067305682385, 'min_lng': 114.07416392502391, 'max_lat': 22.53505045852358, 'max_lng': 114.08388905332171, 'carNum': 29}
{'area_index': '19-3', 'min_lat': 22.53505045852358, 'min_lng': 113.96720141918179, 'max_lat': 22.54403361136477, 'max_lng': 113.97692718002651, 'carNum': 26}
{'area_index': '22-4', 'min_lat': 22.54403361136477, 'min_lng': 113.9963730116842, 'max_lat': 22.55301676420597, 'max_lng': 114.00609940537194, 'carNum': 24}
{'area_index': '28-4', 'min_lat': 22.54403361136477, 'min_lng': 114.05471619668899, 'max_lat': 22.55301676420597, 'max_lng': 114.06444259037674, 'carNum': 23}
{'area_index': '30-13', 'min_lat': 22.62488198693555, 'min_lng': 114.07416392502391, 'max_lat': 22.633865139776745, 'max_lng': 114.08389602903738, 'carNum': 23}
{'area_index': '14-3', 'min_lat': 22.53505045852358, 'min_lng': 113.91858209834449, 'max_lat': 22.54403361136477, 'max_lng': 113.9283078591892, 'carNum': 22}
{'area_index': '15-6', 'min_lat': 22.561999917047167, 'min_lng': 113.92830596251194, 'max_lat': 22.570983069888364, 'max_lng': 113.93803362292373, 'carNum': 22}
{'area_index': '24-17', 'min_lat': 22.660814598300338, 'min_lng': 114.01582074001912, 'max_lat': 22.669797751141534, 'max_lng': 114.02555539035637, 'carNum': 22}
{'area_index': '10-4', 'min_lat': 22.54403361136477, 'min_lng': 113.87968664167462, 'max_lat': 22.55301676420597, 'max_lng': 113.88941303536237, 'carNum': 20}
{'area_index': '14-0', 'min_lat': 22.508101, 'min_lng': 113.91858209834449, 'max_lat': 22.517084152841193, 'max_lng': 113.92830596251194, 'carNum': 20}
{'area_index': '24-1', 'min_lat': 22.517084152841193, 'min_lng': 114.01582074001912, 'max_lat': 22.526067305682385, 'max_lng': 114.02554523606615, 'carNum': 20}
{'area_index': '32-13', 'min_lat': 22.62488198693555, 'min_lng': 114.09361165335883, 'max_lat': 22.633865139776745, 'max_lng': 114.1033437573723, 'carNum': 20}
{'area_index': '10-30', 'min_lat': 22.777595585235904, 'min_lng': 113.87968664167462, 'max_lat': 22.7865787380771, 'max_lng': 113.8894296031632, 'carNum': 19}
{'area_index': '13-1', 'min_lat': 22.517084152841193, 'min_lng': 113.90885823417702, 'max_lat': 22.526067305682385, 'max_lng': 113.91858273022406, 'carNum': 19}
{'area_index': '14-2', 'min_lat': 22.526067305682385, 'min_lng': 113.91858209834449, 'max_lat': 22.53505045852358, 'max_lng': 113.92830722664227, 'carNum': 19}
{'area_index': '25-11', 'min_lat': 22.606915681253152, 'min_lng': 114.02554460418658, 'max_lat': 22.615898834094352, 'max_lng': 114.0352754369981, 'carNum': 19}
{'area_index': '27-7', 'min_lat': 22.570983069888364, 'min_lng': 114.04499233252153, 'max_lat': 22.579966222729563, 'max_lng': 114.05472062677669, 'carNum': 19}
{'area_index': '32-11', 'min_lat': 22.606915681253152, 'min_lng': 114.09361165335883, 'max_lat': 22.615898834094352, 'max_lng': 114.10334248617035, 'carNum': 19}
{'area_index': '28-13', 'min_lat': 22.62488198693555, 'min_lng': 114.05471619668899, 'max_lat': 22.633865139776745, 'max_lng': 114.06444830070245, 'carNum': 19}
{'area_index': '15-4', 'min_lat': 22.54403361136477, 'min_lng': 113.92830596251194, 'max_lat': 22.55301676420597, 'max_lng': 113.9380323561997, 'carNum': 18}
{'area_index': '31-4', 'min_lat': 22.54403361136477, 'min_lng': 114.08388778919138, 'max_lat': 22.55301676420597, 'max_lng': 114.09361418287911, 'carNum': 18}
{'area_index': '27-9', 'min_lat': 22.58894937557076, 'min_lng': 114.04499233252153, 'max_lat': 22.597932528411956, 'max_lng': 114.05472189542591, 'carNum': 17}
{'area_index': '15-5', 'min_lat': 22.55301676420597, 'min_lng': 113.92830596251194, 'max_lat': 22.561999917047167, 'max_lng': 113.9380329894137, 'carNum': 16}
{'area_index': '25-16', 'min_lat': 22.65183144545914, 'min_lng': 114.02554460418658, 'max_lat': 22.660814598300338, 'max_lng': 114.03527861746242, 'carNum': 16}
{'area_index': '25-1', 'min_lat': 22.517084152841193, 'min_lng': 114.02554460418658, 'max_lat': 22.526067305682385, 'max_lng': 114.03526910023363, 'carNum': 15}
{'area_index': '0-32', 'min_lat': 22.7955618909183, 'min_lng': 113.782448, 'max_lat': 22.804545043759497, 'max_lng': 113.79219224498482, 'carNum': 14}
{'area_index': '8-6', 'min_lat': 22.561999917047167, 'min_lng': 113.8602389133397, 'max_lat': 22.570983069888364, 'max_lng': 113.86996657375147, 'carNum': 14}
