{'area_index': '64-27', 'min_lat': 22.542545126712316, 'min_lng': 114.12139617732744, 'max_lat': 22.551528279553512, 'max_lng': 114.13112246613129, 'carNum': 152}
{'area_index': '41-27', 'min_lat': 22.542545126712316, 'min_lng': 113.89808192610039, 'max_lat': 22.551528279553512, 'max_lng': 113.90780821490422, 'carNum': 123}
{'area_index': '58-25', 'min_lat': 22.52457882102992, 'min_lng': 114.06314028570299, 'max_lat': 22.533561973871116, 'max_lng': 114.07286530921564, 'carNum': 113}
{'area_index': '64-28', 'min_lat': 22.551528279553512, 'min_lng': 114.12139617732744, 'max_lat': 22.56051143239471, 'max_lng': 114.13112309927719, 'carNum': 96}
{'area_index': '65-28', 'min_lat': 22.551528279553512, 'min_lng': 114.13110549259818, 'max_lat': 22.56051143239471, 'max_lng': 114.14083241454793, 'carNum': 92}
{'area_index': '60-26', 'min_lat': 22.533561973871116, 'min_lng': 114.08255891624447, 'max_lat': 22.542545126712316, 'max_lng': 114.09228457223593, 'carNum': 85}
{'area_index': '40-27', 'min_lat': 22.542545126712316, 'min_lng': 113.88837261082965, 'max_lat': 22.551528279553512, 'max_lng': 113.89809889963348, 'carNum': 84}
{'area_index': '57-26', 'min_lat': 22.533561973871116, 'min_lng': 114.05343097043225, 'max_lat': 22.542545126712316, 'max_lng': 114.0631566264237, 'carNum': 84}
{'area_index': '65-27', 'min_lat': 22.542545126712316, 'min_lng': 114.13110549259818, 'max_lat': 22.551528279553512, 'max_lng': 114.14083178140201, 'carNum': 82}
{'area_index': '59-26', 'min_lat': 22.533561973871116, 'min_lng': 114.07284960097373, 'max_lat': 22.542545126712316, 'max_lng': 114.08257525696519, 'carNum': 77}
{'area_index': '63-27', 'min_lat': 22.542545126712316, 'min_lng': 114.1116868620567, 'max_lat': 22.551528279553512, 'max_lng': 114.12141315086052, 'carNum': 73}
{'area_index': '54-25', 'min_lat': 22.52457882102992, 'min_lng': 114.02430302462002, 'max_lat': 22.533561973871116, 'max_lng': 114.0340280481327, 'carNum': 65}
{'area_index': '63-26', 'min_lat': 22.533561973871116, 'min_lng': 114.1116868620567, 'max_lat': 22.542545126712316, 'max_lng': 114.12141251804815, 'carNum': 65}
{'area_index': '56-26', 'min_lat': 22.533561973871116, 'min_lng': 114.0437216551615, 'max_lat': 22.542545126712316, 'max_lng': 114.05344731115296, 'carNum': 62}
{'area_index': '60-27', 'min_lat': 22.542545126712316, 'min_lng': 114.08255891624447, 'max_lat': 22.551528279553512, 'max_lng': 114.0922852050483, 'carNum': 61}
{'area_index': '60-25', 'min_lat': 22.52457882102992, 'min_lng': 114.08255891624447, 'max_lat': 22.533561973871116, 'max_lng': 114.09228393975712, 'carNum': 55}
{'area_index': '62-30', 'min_lat': 22.56949458523591, 'min_lng': 114.10197754678595, 'max_lat': 22.578477738077105, 'max_lng': 114.11170573599037, 'carNum': 54}
{'area_index': '58-26', 'min_lat': 22.533561973871116, 'min_lng': 114.06314028570299, 'max_lat': 22.542545126712316, 'max_lng': 114.07286594169445, 'carNum': 53}
{'area_index': '57-25', 'min_lat': 22.52457882102992, 'min_lng': 114.05343097043225, 'max_lat': 22.533561973871116, 'max_lng': 114.06315599394492, 'carNum': 52}
{'area_index': '61-26', 'min_lat': 22.533561973871116, 'min_lng': 114.0922682315152, 'max_lat': 22.542545126712316, 'max_lng': 114.10199388750667, 'carNum': 52}
{'area_index': '69-28', 'min_lat': 22.551528279553512, 'min_lng': 114.16994275368114, 'max_lat': 22.56051143239471, 'max_lng': 114.17966967563089, 'carNum': 52}
{'area_index': '50-25', 'min_lat': 22.52457882102992, 'min_lng': 113.98546576353706, 'max_lat': 22.533561973871116, 'max_lng': 113.99519078704971, 'carNum': 49}
{'area_index': '53-26', 'min_lat': 22.533561973871116, 'min_lng': 114.01459370934928, 'max_lat': 22.542545126712316, 'max_lng': 114.02431936534073, 'carNum': 49}
{'area_index': '63-28', 'min_lat': 22.551528279553512, 'min_lng': 114.1116868620567, 'max_lat': 22.56051143239471, 'max_lng': 114.12141378400645, 'carNum': 49}
{'area_index': '64-29', 'min_lat': 22.56051143239471, 'min_lng': 114.12139617732744, 'max_lat': 22.56949458523591, 'max_lng': 114.13112373275656, 'carNum': 49}
{'area_index': '55-24', 'min_lat': 22.515595668188723, 'min_lng': 114.03401233989077, 'max_lat': 22.52457882102992, 'max_lng': 114.04373673122082, 'carNum': 47}
{'area_index': '63-33', 'min_lat': 22.5964440437595, 'min_lng': 114.1116868620567, 'max_lat': 22.605427196600697, 'max_lng': 114.12141695454933, 'carNum': 47}
{'area_index': '62-26', 'min_lat': 22.533561973871116, 'min_lng': 114.10197754678595, 'max_lat': 22.542545126712316, 'max_lng': 114.1117032027774, 'carNum': 46}
{'area_index': '66-34', 'min_lat': 22.605427196600697, 'min_lng': 114.14081480786892, 'max_lat': 22.614410349441894, 'max_lng': 114.15054553543234, 'carNum': 46}
{'area_index': '64-26', 'min_lat': 22.533561973871116, 'min_lng': 114.12139617732744, 'max_lat': 22.542545126712316, 'max_lng': 114.13112183331889, 'carNum': 44}
{'area_index': '56-27', 'min_lat': 22.542545126712316, 'min_lng': 114.0437216551615, 'max_lat': 22.551528279553512, 'max_lng': 114.05344794396534, 'carNum': 43}
{'area_index': '58-24', 'min_lat': 22.515595668188723, 'min_lng': 114.06314028570299, 'max_lat': 22.52457882102992, 'max_lng': 114.07286467703304, 'carNum': 43}
{'area_index': '49-28', 'min_lat': 22.551528279553512, 'min_lng': 113.97575644826631, 'max_lat': 22.56051143239471, 'max_lng': 113.98548337021607, 'carNum': 42}
{'area_index': '59-27', 'min_lat': 22.542545126712316, 'min_lng': 114.07284960097373, 'max_lat': 22.551528279553512, 'max_lng': 114.08257588977757, 'carNum': 41}
