{'area_index': '29-56', 'min_lat': 22.803056559107038, 'min_lng': 113.78157014285149, 'max_lat': 22.812039711948238, 'max_lng': 113.79131492362063, 'carNum': 19}
{'area_index': '31-35', 'min_lat': 22.614410349441894, 'min_lng': 113.80098877339297, 'max_lat': 22.62339350228309, 'max_lng': 113.81072013632284, 'carNum': 3}
{'area_index': '31-36', 'min_lat': 22.62339350228309, 'min_lng': 113.80098877339297, 'max_lat': 22.63237665512429, 'max_lng': 113.81072077205975, 'carNum': 34}
{'area_index': '32-34', 'min_lat': 22.605427196600697, 'min_lng': 113.81069808866371, 'max_lat': 22.614410349441894, 'max_lng': 113.82042881622716, 'carNum': 7}
{'area_index': '32-35', 'min_lat': 22.614410349441894, 'min_lng': 113.81069808866371, 'max_lat': 22.62339350228309, 'max_lng': 113.8204294515936, 'carNum': 1}
{'area_index': '32-36', 'min_lat': 22.62339350228309, 'min_lng': 113.81069808866371, 'max_lat': 22.63237665512429, 'max_lng': 113.82043008733051, 'carNum': 3}
{'area_index': '33-34', 'min_lat': 22.605427196600697, 'min_lng': 113.82040740393445, 'max_lat': 22.614410349441894, 'max_lng': 113.83013813149789, 'carNum': 2}
{'area_index': '33-35', 'min_lat': 22.614410349441894, 'min_lng': 113.82040740393445, 'max_lat': 22.62339350228309, 'max_lng': 113.83013876686431, 'carNum': 4}
{'area_index': '34-34', 'min_lat': 22.605427196600697, 'min_lng': 113.8301167192052, 'max_lat': 22.614410349441894, 'max_lng': 113.83984744676864, 'carNum': 3}
{'area_index': '34-35', 'min_lat': 22.614410349441894, 'min_lng': 113.8301167192052, 'max_lat': 22.62339350228309, 'max_lng': 113.83984808213508, 'carNum': 15}
{'area_index': '35-34', 'min_lat': 22.605427196600697, 'min_lng': 113.83982603447593, 'max_lat': 22.614410349441894, 'max_lng': 113.84955676203937, 'carNum': 3}
{'area_index': '36-30', 'min_lat': 22.56949458523591, 'min_lng': 113.84953534974667, 'max_lat': 22.578477738077105, 'max_lng': 113.8592635389511, 'carNum': 34}
{'area_index': '37-30', 'min_lat': 22.56949458523591, 'min_lng': 113.85924466501743, 'max_lat': 22.578477738077105, 'max_lng': 113.86897285422184, 'carNum': 59}
{'area_index': '38-29', 'min_lat': 22.56051143239471, 'min_lng': 113.86895398028817, 'max_lat': 22.56949458523591, 'max_lng': 113.87868153571729, 'carNum': 11}
{'area_index': '39-27', 'min_lat': 22.542545126712316, 'min_lng': 113.87866329555891, 'max_lat': 22.551528279553512, 'max_lng': 113.88838958436276, 'carNum': 8}
{'area_index': '39-28', 'min_lat': 22.551528279553512, 'min_lng': 113.87866329555891, 'max_lat': 22.56051143239471, 'max_lng': 113.88839021750866, 'carNum': 7}
{'area_index': '39-46', 'min_lat': 22.713225030695064, 'min_lng': 113.87866329555891, 'max_lat': 22.722208183536264, 'max_lng': 113.88840166911032, 'carNum': 2}
{'area_index': '39-47', 'min_lat': 22.722208183536264, 'min_lng': 113.87866329555891, 'max_lat': 22.73119133637746, 'max_lng': 113.88840230835643, 'carNum': 6}
{'area_index': '39-48', 'min_lat': 22.73119133637746, 'min_lng': 113.87866329555891, 'max_lat': 22.740174489218656, 'max_lng': 113.88840294797225, 'carNum': 6}
{'area_index': '39-49', 'min_lat': 22.740174489218656, 'min_lng': 113.87866329555891, 'max_lat': 22.749157642059856, 'max_lng': 113.88840358788279, 'carNum': 4}
{'area_index': '39-54', 'min_lat': 22.785090253424645, 'min_lng': 113.87866329555891, 'max_lat': 22.79407340626584, 'max_lng': 113.8884067923039, 'carNum': 19}
{'area_index': '40-27', 'min_lat': 22.542545126712316, 'min_lng': 113.88837261082965, 'max_lat': 22.551528279553512, 'max_lng': 113.89809889963348, 'carNum': 142}
{'area_index': '40-28', 'min_lat': 22.551528279553512, 'min_lng': 113.88837261082965, 'max_lat': 22.56051143239471, 'max_lng': 113.8980995327794, 'carNum': 23}
{'area_index': '41-26', 'min_lat': 22.533561973871116, 'min_lng': 113.89808192610039, 'max_lat': 22.542545126712316, 'max_lng': 113.90780758209183, 'carNum': 4}
{'area_index': '41-27', 'min_lat': 22.542545126712316, 'min_lng': 113.89808192610039, 'max_lat': 22.551528279553512, 'max_lng': 113.90780821490422, 'carNum': 10}
{'area_index': '41-28', 'min_lat': 22.551528279553512, 'min_lng': 113.89808192610039, 'max_lat': 22.56051143239471, 'max_lng': 113.90780884805014, 'carNum': 40}
{'area_index': '41-29', 'min_lat': 22.56051143239471, 'min_lng': 113.89808192610039, 'max_lat': 22.56949458523591, 'max_lng': 113.90780948152951, 'carNum': 1}
{'area_index': '42-24', 'min_lat': 22.515595668188723, 'min_lng': 113.90779124137113, 'max_lat': 22.52457882102992, 'max_lng': 113.9175156327012, 'carNum': 5}
{'area_index': '42-27', 'min_lat': 22.542545126712316, 'min_lng': 113.90779124137113, 'max_lat': 22.551528279553512, 'max_lng': 113.91751753017498, 'carNum': 3}
{'area_index': '42-28', 'min_lat': 22.551528279553512, 'min_lng': 113.90779124137113, 'max_lat': 22.56051143239471, 'max_lng': 113.91751816332088, 'carNum': 2}
{'area_index': '42-30', 'min_lat': 22.56949458523591, 'min_lng': 113.90779124137113, 'max_lat': 22.578477738077105, 'max_lng': 113.91751943057554, 'carNum': 1}
{'area_index': '43-23', 'min_lat': 22.506612515347527, 'min_lng': 113.91750055664187, 'max_lat': 22.515595668188723, 'max_lng': 113.92722431612303, 'carNum': 21}
{'area_index': '43-24', 'min_lat': 22.515595668188723, 'min_lng': 113.91750055664187, 'max_lat': 22.52457882102992, 'max_lng': 113.92722494797192, 'carNum': 25}
{'area_index': '43-25', 'min_lat': 22.52457882102992, 'min_lng': 113.91750055664187, 'max_lat': 22.533561973871116, 'max_lng': 113.92722558015453, 'carNum': 29}
{'area_index': '43-27', 'min_lat': 22.542545126712316, 'min_lng': 113.91750055664187, 'max_lat': 22.551528279553512, 'max_lng': 113.9272268454457, 'carNum': 28}
{'area_index': '43-28', 'min_lat': 22.551528279553512, 'min_lng': 113.91750055664187, 'max_lat': 22.56051143239471, 'max_lng': 113.92722747859162, 'carNum': 7}
{'area_index': '43-29', 'min_lat': 22.56051143239471, 'min_lng': 113.91750055664187, 'max_lat': 22.56949458523591, 'max_lng': 113.92722811207099, 'carNum': 26}
{'area_index': '43-30', 'min_lat': 22.56949458523591, 'min_lng': 113.91750055664187, 'max_lat': 22.578477738077105, 'max_lng': 113.92722874584629, 'carNum': 12}
{'area_index': '44-24', 'min_lat': 22.515595668188723, 'min_lng': 113.92720987191261, 'max_lat': 22.52457882102992, 'max_lng': 113.93693426324266, 'carNum': 1}
{'area_index': '44-25', 'min_lat': 22.52457882102992, 'min_lng': 113.92720987191261, 'max_lat': 22.533561973871116, 'max_lng': 113.93693489542528, 'carNum': 17}
{'area_index': '44-26', 'min_lat': 22.533561973871116, 'min_lng': 113.92720987191261, 'max_lat': 22.542545126712316, 'max_lng': 113.93693552790407, 'carNum': 9}
{'area_index': '44-27', 'min_lat': 22.542545126712316, 'min_lng': 113.92720987191261, 'max_lat': 22.551528279553512, 'max_lng': 113.93693616071646, 'carNum': 18}
{'area_index': '44-28', 'min_lat': 22.551528279553512, 'min_lng': 113.92720987191261, 'max_lat': 22.56051143239471, 'max_lng': 113.93693679386236, 'carNum': 12}
{'area_index': '44-29', 'min_lat': 22.56051143239471, 'min_lng': 113.92720987191261, 'max_lat': 22.56949458523591, 'max_lng': 113.93693742734173, 'carNum': 30}
{'area_index': '45-24', 'min_lat': 22.515595668188723, 'min_lng': 113.93691918718335, 'max_lat': 22.52457882102992, 'max_lng': 113.9466435785134, 'carNum': 5}
{'area_index': '45-25', 'min_lat': 22.52457882102992, 'min_lng': 113.93691918718335, 'max_lat': 22.533561973871116, 'max_lng': 113.94664421069601, 'carNum': 1}
{'area_index': '46-24', 'min_lat': 22.515595668188723, 'min_lng': 113.94662850245409, 'max_lat': 22.52457882102992, 'max_lng': 113.95635289378414, 'carNum': 7}
{'area_index': '46-28', 'min_lat': 22.551528279553512, 'min_lng': 113.94662850245409, 'max_lat': 22.56051143239471, 'max_lng': 113.95635542440384, 'carNum': 5}
{'area_index': '47-24', 'min_lat': 22.515595668188723, 'min_lng': 113.95633781772483, 'max_lat': 22.52457882102992, 'max_lng': 113.9660622090549, 'carNum': 8}
{'area_index': '47-26', 'min_lat': 22.533561973871116, 'min_lng': 113.95633781772483, 'max_lat': 22.542545126712316, 'max_lng': 113.96606347371629, 'carNum': 3}
{'area_index': '47-28', 'min_lat': 22.551528279553512, 'min_lng': 113.95633781772483, 'max_lat': 22.56051143239471, 'max_lng': 113.96606473967458, 'carNum': 9}
{'area_index': '47-29', 'min_lat': 22.56051143239471, 'min_lng': 113.95633781772483, 'max_lat': 22.56949458523591, 'max_lng': 113.96606537315395, 'carNum': 3}
{'area_index': '47-44', 'min_lat': 22.69525872501267, 'min_lng': 113.95633781772483, 'max_lat': 22.704241877853867, 'max_lng': 113.96607491370614, 'carNum': 6}
{'area_index': '47-45', 'min_lat': 22.704241877853867, 'min_lng': 113.95633781772483, 'max_lat': 22.713225030695064, 'max_lng': 113.96607555232501, 'carNum': 12}
{'area_index': '48-24', 'min_lat': 22.515595668188723, 'min_lng': 113.96604713299557, 'max_lat': 22.52457882102992, 'max_lng': 113.97577152432562, 'carNum': 5}
{'area_index': '48-26', 'min_lat': 22.533561973871116, 'min_lng': 113.96604713299557, 'max_lat': 22.542545126712316, 'max_lng': 113.97577278898703, 'carNum': 24}
{'area_index': '48-27', 'min_lat': 22.542545126712316, 'min_lng': 113.96604713299557, 'max_lat': 22.551528279553512, 'max_lng': 113.9757734217994, 'carNum': 6}
{'area_index': '48-28', 'min_lat': 22.551528279553512, 'min_lng': 113.96604713299557, 'max_lat': 22.56051143239471, 'max_lng': 113.97577405494533, 'carNum': 46}
{'area_index': '48-29', 'min_lat': 22.56051143239471, 'min_lng': 113.96604713299557, 'max_lat': 22.56949458523591, 'max_lng': 113.97577468842469, 'carNum': 9}
{'area_index': '49-24', 'min_lat': 22.515595668188723, 'min_lng': 113.97575644826631, 'max_lat': 22.52457882102992, 'max_lng': 113.98548083959636, 'carNum': 4}
{'area_index': '49-26', 'min_lat': 22.533561973871116, 'min_lng': 113.97575644826631, 'max_lat': 22.542545126712316, 'max_lng': 113.98548210425777, 'carNum': 62}
{'area_index': '49-27', 'min_lat': 22.542545126712316, 'min_lng': 113.97575644826631, 'max_lat': 22.551528279553512, 'max_lng': 113.98548273707017, 'carNum': 1}
{'area_index': '49-28', 'min_lat': 22.551528279553512, 'min_lng': 113.97575644826631, 'max_lat': 22.56051143239471, 'max_lng': 113.98548337021607, 'carNum': 35}
{'area_index': '49-29', 'min_lat': 22.56051143239471, 'min_lng': 113.97575644826631, 'max_lat': 22.56949458523591, 'max_lng': 113.98548400369543, 'carNum': 5}
{'area_index': '50-24', 'min_lat': 22.515595668188723, 'min_lng': 113.98546576353706, 'max_lat': 22.52457882102992, 'max_lng': 113.9951901548671, 'carNum': 3}
{'area_index': '50-25', 'min_lat': 22.52457882102992, 'min_lng': 113.98546576353706, 'max_lat': 22.533561973871116, 'max_lng': 113.99519078704971, 'carNum': 26}
{'area_index': '50-26', 'min_lat': 22.533561973871116, 'min_lng': 113.98546576353706, 'max_lat': 22.542545126712316, 'max_lng': 113.99519141952851, 'carNum': 45}
{'area_index': '50-27', 'min_lat': 22.542545126712316, 'min_lng': 113.98546576353706, 'max_lat': 22.551528279553512, 'max_lng': 113.99519205234088, 'carNum': 14}
{'area_index': '50-28', 'min_lat': 22.551528279553512, 'min_lng': 113.98546576353706, 'max_lat': 22.56051143239471, 'max_lng': 113.99519268548681, 'carNum': 1}
{'area_index': '50-43', 'min_lat': 22.68627557217147, 'min_lng': 113.98546576353706, 'max_lat': 22.69525872501267, 'max_lng': 113.99520222123193, 'carNum': 14}
{'area_index': '51-25', 'min_lat': 22.52457882102992, 'min_lng': 113.9951750788078, 'max_lat': 22.533561973871116, 'max_lng': 114.00490010232048, 'carNum': 2}
{'area_index': '51-27', 'min_lat': 22.542545126712316, 'min_lng': 113.9951750788078, 'max_lat': 22.551528279553512, 'max_lng': 114.00490136761164, 'carNum': 3}
{'area_index': '51-40', 'min_lat': 22.659326113647882, 'min_lng': 113.9951750788078, 'max_lat': 22.66830926648908, 'max_lng': 114.00490962356386, 'carNum': 9}
{'area_index': '52-25', 'min_lat': 22.52457882102992, 'min_lng': 114.00488439407854, 'max_lat': 22.533561973871116, 'max_lng': 114.01460941759122, 'carNum': 14}
{'area_index': '52-26', 'min_lat': 22.533561973871116, 'min_lng': 114.00488439407854, 'max_lat': 22.542545126712316, 'max_lng': 114.01461005006999, 'carNum': 29}
{'area_index': '52-27', 'min_lat': 22.542545126712316, 'min_lng': 114.00488439407854, 'max_lat': 22.551528279553512, 'max_lng': 114.01461068288239, 'carNum': 57}
{'area_index': '52-40', 'min_lat': 22.659326113647882, 'min_lng': 114.00488439407854, 'max_lat': 22.66830926648908, 'max_lng': 114.0146189388346, 'carNum': 45}
{'area_index': '53-24', 'min_lat': 22.515595668188723, 'min_lng': 114.01459370934928, 'max_lat': 22.52457882102992, 'max_lng': 114.02431810067932, 'carNum': 1}
{'area_index': '53-25', 'min_lat': 22.52457882102992, 'min_lng': 114.01459370934928, 'max_lat': 22.533561973871116, 'max_lng': 114.02431873286193, 'carNum': 62}
{'area_index': '53-26', 'min_lat': 22.533561973871116, 'min_lng': 114.01459370934928, 'max_lat': 22.542545126712316, 'max_lng': 114.02431936534073, 'carNum': 69}
{'area_index': '53-39', 'min_lat': 22.650342960806682, 'min_lng': 114.01459370934928, 'max_lat': 22.659326113647882, 'max_lng': 114.02432761707445, 'carNum': 6}
{'area_index': '53-40', 'min_lat': 22.659326113647882, 'min_lng': 114.01459370934928, 'max_lat': 22.66830926648908, 'max_lng': 114.02432825410533, 'carNum': 28}
{'area_index': '54-24', 'min_lat': 22.515595668188723, 'min_lng': 114.02430302462002, 'max_lat': 22.52457882102992, 'max_lng': 114.03402741595008, 'carNum': 8}
{'area_index': '54-25', 'min_lat': 22.52457882102992, 'min_lng': 114.02430302462002, 'max_lat': 22.533561973871116, 'max_lng': 114.0340280481327, 'carNum': 49}
{'area_index': '54-34', 'min_lat': 22.605427196600697, 'min_lng': 114.02430302462002, 'max_lat': 22.614410349441894, 'max_lng': 114.03403375218346, 'carNum': 16}
{'area_index': '54-35', 'min_lat': 22.614410349441894, 'min_lng': 114.02430302462002, 'max_lat': 22.62339350228309, 'max_lng': 114.0340343875499, 'carNum': 3}
{'area_index': '54-39', 'min_lat': 22.650342960806682, 'min_lng': 114.02430302462002, 'max_lat': 22.659326113647882, 'max_lng': 114.03403693234519, 'carNum': 12}
{'area_index': '54-40', 'min_lat': 22.659326113647882, 'min_lng': 114.02430302462002, 'max_lat': 22.66830926648908, 'max_lng': 114.03403756937608, 'carNum': 6}
{'area_index': '54-45', 'min_lat': 22.704241877853867, 'min_lng': 114.02430302462002, 'max_lat': 22.713225030695064, 'max_lng': 114.03404075922019, 'carNum': 3}
{'area_index': '55-23', 'min_lat': 22.506612515347527, 'min_lng': 114.03401233989077, 'max_lat': 22.515595668188723, 'max_lng': 114.04373609937193, 'carNum': 2}
{'area_index': '55-24', 'min_lat': 22.515595668188723, 'min_lng': 114.03401233989077, 'max_lat': 22.52457882102992, 'max_lng': 114.04373673122082, 'carNum': 42}
{'area_index': '55-25', 'min_lat': 22.52457882102992, 'min_lng': 114.03401233989077, 'max_lat': 22.533561973871116, 'max_lng': 114.04373736340342, 'carNum': 9}
{'area_index': '55-26', 'min_lat': 22.533561973871116, 'min_lng': 114.03401233989077, 'max_lat': 22.542545126712316, 'max_lng': 114.04373799588221, 'carNum': 1}
